ID,GEN,PEN,MET,FUS,TEI,VAN,Ery,CLI,LIN,CIP,RIF,TET,TMP
14200_8#46,0,1,1,1,0,0,0,0,1,0,0,0,0
14200_8#47,0,1,1,0,0,0,0,0,0,0,0,0,0
14200_8#48,0,1,1,1,0,0,0,0,0,1,0,0,0
14200_8#49,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#5,0,1,1,1,0,0,0,0,0,0,0,1,0
14200_8#50,1,1,1,1,0,0,1,0,0,1,0,0,0
14200_8#51,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#52,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#53,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#54,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#55,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#56,0,1,1,0,0,0,0,0,0,1,0,0,1
14200_8#57,0,1,1,0,0,0,1,0,0,1,0,0,1
14200_8#58,1,1,1,0,0,0,0,0,0,1,0,1,1
14200_8#59,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#6,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#60,0,1,1,1,0,0,1,0,0,0,0,0,0
14200_8#61,1,1,1,1,0,0,1,0,0,1,0,0,0
14200_8#62,0,1,1,0,0,0,1,0,0,1,0,1,0
14200_8#63,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#64,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#66,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#67,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#68,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#69,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#7,0,1,1,1,0,0,0,0,0,1,0,0,0
14200_8#72,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#73,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#74,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#75,0,1,1,0,0,0,1,0,0,0,0,0,0
14200_8#76,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#77,0,1,1,1,0,0,0,0,0,0,0,0,0
14200_8#78,0,1,1,0,0,0,0,0,0,0,0,0,0
14200_8#79,0,1,1,0,0,0,1,0,0,1,0,0,1
14200_8#8,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#80,0,1,1,0,0,0,0,0,0,0,0,1,0
14200_8#81,1,1,1,1,0,0,1,0,0,1,0,0,0
14200_8#83,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#84,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#85,0,1,1,1,0,0,1,0,0,0,0,0,0
14200_8#86,1,1,1,1,0,0,1,0,0,1,0,0,0
14200_8#87,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#88,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#89,0,1,1,1,0,0,0,0,0,0,0,0,0
14200_8#9,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#90,0,1,0,1,0,0,0,0,0,0,0,0,0
14200_8#91,0,1,1,0,0,0,1,0,0,1,0,0,0
14200_8#92,0,1,1,1,0,0,0,0,0,0,0,0,0
14200_8#93,0,1,1,0,0,0,0,0,0,1,0,0,0
14200_8#94,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#1,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#10,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#11,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#12,0,1,1,1,0,0,1,1,0,1,0,0,0
14208_8#13,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#14,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#15,1,1,1,0,0,0,0,0,0,1,0,0,1
14208_8#16,1,1,1,1,0,0,1,0,0,1,0,0,0
14208_8#17,0,1,1,1,0,0,1,0,0,1,0,0,0
14208_8#18,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#19,1,1,1,1,0,0,1,0,0,1,0,0,0
14208_8#2,0,1,1,0,0,0,1,0,0,1,0,0,0
14208_8#20,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#21,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#22,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#23,0,1,1,0,0,0,0,0,0,1,0,0,0
14208_8#24,0,1,1,0,0,0,1,0,0,1,0,0,0
